"Extra Buttons", "Extra Buttons"
"General", "General"
"Enable", "Enable"
"ExtraButtons Settings - NEX", "ExtraButtons Settings - NEX"
"Extra Buttons (nex)", "Extra Buttons (nex)"
"Manage Items", "Manage Items"

"Items Manager", "Items Manager"
"Item Manager", "Item Manager"
"Item News", "Item News"
"Item does not exist", "Item does not exist"
"Item was successfully saved", "Item was successfully saved"
"Item was successfully deleted", "Item was successfully deleted"
"Unavailable", "Unavailable"
"Add Item", "Add Item"
"ID", "ID"
"Image", "Image"
"Title", "Title"
"Attribute ID", "Attribute ID"
"Store", "Store"
"Status", "Status"
"Save Item", "Save Item"
"Delete Item", "Delete Item"
"Edit Item '%s'", "Edit Item '%s'"
"Button Information", "Button Information"
"Item Information", "Item Information"
"Select Store", "Select Store"
"Image File", "Image File"
"Attribute Code", "Attribute Code"
"Active", "Active"
"Inactive", "Inactive"