"Extra Buttons", "Botões Extras"
"General", "Geral"
"Enable", "Habilitado"
"ExtraButtons Settings - NEX", "Botões Extras Configurações - NEX"
"Extra Buttons (nex)", "Botões Extras (nex)"
"Manage Items", "Gerenciar Itens"

"Items Manager", "Gerenciar Itens"
"Item Manager", "Gerenciar Item"
"Item News", "Novo Item"
"Item does not exist", "O item não existe"
"Item was successfully saved", "O item foi salvo com sucesso"
"Item was successfully deleted", "O item foi deletado com sucesso"
"Unavailable", "Indisponivel"
"Add Item", "Novo"
"ID", "ID"
"Image", "Imagem"
"Title", "Titulo"
"Attribute ID", "Código do Atributo"
"Store", "Loja"
"Status", "Status"
"Save Item", "Salvar item"
"Delete Item", "Deletar Item"
"Edit Item '%s'", "Editar Item '%s'"
"Button Information", "Informação do Botão"
"Item Information", "Informação do Item"
"Select Store", "Selecionar Loja"
"Image File", "Arquivo de Imagem"
"Attribute Code", "Código do Atributo"
"Active", "Ativo"
"Inactive", "Inativo"